Date Saved,02/10/2017 13:53:18
Title,2017-10-02 Wan_001_02ﾟ_2830K

Measuring Mode,Ambient
Viewing Angle [ﾟ],2
Tcp [K],2830
⊿uv,0.0008
Illuminance [lx],353

Peak Wavelength [nm],778
Tristimulus Value X,387.7438
Tristimulus Value Y,353.0332
Tristimulus Value Z,119.2989
CIE1931 x,0.4508
CIE1931 y,0.4105
CIE1931 z,0.1387
CIE1976 u',0.2567
CIE1976 v',0.5259
Dominant Wavelength [nm],583
Purity [%],58.53
CRI Ra,98.7
CRI R1,98.5
CRI R2,99.1
CRI R3,99.7
CRI R4,98.4
CRI R5,98.4
CRI R6,98.9
CRI R7,99.2
CRI R8,97.5
CRI R9,94.4
CRI R10,98.0
CRI R11,98.1
CRI R12,97.4
CRI R13,98.6
CRI R14,99.8
CRI R15,98.0

Spectral Data 380[nm],0.000212996849
Spectral Data 385[nm],0.000308759481
Spectral Data 390[nm],0.000419230870
Spectral Data 395[nm],0.000502923562
Spectral Data 400[nm],0.000565508089
Spectral Data 405[nm],0.000631713890
Spectral Data 410[nm],0.000704364793
Spectral Data 415[nm],0.000790695660
Spectral Data 420[nm],0.000886548776
Spectral Data 425[nm],0.000986183644
Spectral Data 430[nm],0.001086280798
Spectral Data 435[nm],0.001182428794
Spectral Data 440[nm],0.001278360956
Spectral Data 445[nm],0.001383354422
Spectral Data 450[nm],0.001491759904
Spectral Data 455[nm],0.001609286293
Spectral Data 460[nm],0.001729849377
Spectral Data 465[nm],0.001859040931
Spectral Data 470[nm],0.001990410034
Spectral Data 475[nm],0.002125361934
Spectral Data 480[nm],0.002255563857
Spectral Data 485[nm],0.002376118209
Spectral Data 490[nm],0.002501825104
Spectral Data 495[nm],0.002640533727
Spectral Data 500[nm],0.002785025397
Spectral Data 505[nm],0.002936512697
Spectral Data 510[nm],0.003088281257
Spectral Data 515[nm],0.003246570705
Spectral Data 520[nm],0.003410456935
Spectral Data 525[nm],0.003579241922
Spectral Data 530[nm],0.003749702824
Spectral Data 535[nm],0.003920492250
Spectral Data 540[nm],0.004099898972
Spectral Data 545[nm],0.004287858028
Spectral Data 550[nm],0.004476711620
Spectral Data 555[nm],0.004653407726
Spectral Data 560[nm],0.004821805749
Spectral Data 565[nm],0.004992350936
Spectral Data 570[nm],0.005165995564
Spectral Data 575[nm],0.005344982725
Spectral Data 580[nm],0.005527358968
Spectral Data 585[nm],0.005710507743
Spectral Data 590[nm],0.005894342903
Spectral Data 595[nm],0.006076517049
Spectral Data 600[nm],0.006262529641
Spectral Data 605[nm],0.006440834608
Spectral Data 610[nm],0.006603525020
Spectral Data 615[nm],0.006755688228
Spectral Data 620[nm],0.006901278161
Spectral Data 625[nm],0.007044112310
Spectral Data 630[nm],0.007188104093
Spectral Data 635[nm],0.007335298695
Spectral Data 640[nm],0.007483033929
Spectral Data 645[nm],0.007626207545
Spectral Data 650[nm],0.007780286483
Spectral Data 655[nm],0.007928714156
Spectral Data 660[nm],0.008084131405
Spectral Data 665[nm],0.008238988928
Spectral Data 670[nm],0.008393242955
Spectral Data 675[nm],0.008540412411
Spectral Data 680[nm],0.008678589016
Spectral Data 685[nm],0.008808242157
Spectral Data 690[nm],0.008934169076
Spectral Data 695[nm],0.009057386778
Spectral Data 700[nm],0.009165519848
Spectral Data 705[nm],0.009247628041
Spectral Data 710[nm],0.009331508540
Spectral Data 715[nm],0.009413701482
Spectral Data 720[nm],0.009503084235
Spectral Data 725[nm],0.009598509409
Spectral Data 730[nm],0.009697102942
Spectral Data 735[nm],0.009789714590
Spectral Data 740[nm],0.009882803075
Spectral Data 745[nm],0.009973011911
Spectral Data 750[nm],0.010058307089
Spectral Data 755[nm],0.010145158507
Spectral Data 760[nm],0.010234707966
Spectral Data 765[nm],0.010319738649
Spectral Data 770[nm],0.010384754278
Spectral Data 775[nm],0.010451463982
Spectral Data 780[nm],0.010500028729

Spectral Data 380[nm],0.000185466633
Spectral Data 381[nm],0.000211099017
Spectral Data 382[nm],0.000236038526
Spectral Data 383[nm],0.000260697154
Spectral Data 384[nm],0.000285175105
Spectral Data 385[nm],0.000309424562
Spectral Data 386[nm],0.000333396863
Spectral Data 387[nm],0.000356973178
Spectral Data 388[nm],0.000379849196
Spectral Data 389[nm],0.000401690311
Spectral Data 390[nm],0.000422170036
Spectral Data 391[nm],0.000441171578
Spectral Data 392[nm],0.000458787894
Spectral Data 393[nm],0.000475120061
Spectral Data 394[nm],0.000490282197
Spectral Data 395[nm],0.000504461757
Spectral Data 396[nm],0.000517873967
Spectral Data 397[nm],0.000530733727
Spectral Data 398[nm],0.000543216069
Spectral Data 399[nm],0.000555413659
Spectral Data 400[nm],0.000567409152
Spectral Data 401[nm],0.000579292595
Spectral Data 402[nm],0.000591269170
Spectral Data 403[nm],0.000603635272
